query,item_id,action_type,timestamp,weight
露营咖啡怎么做,item_0001,real_play,2026-04-20T09:10:00,1.0
摩卡壶户外教程,item_0001,click,2026-04-20T09:12:00,0.7
番茄牛腩做法,item_0002,real_play,2026-04-20T10:00:00,1.0
家常菜牛腩怎么炖,item_0002,like,2026-04-20T10:03:00,1.2
上班快速化妆,item_0003,real_play,2026-04-20T11:00:00,1.0
通勤妆教程,item_0003,click,2026-04-20T11:01:00,0.7
新手力量训练,item_0004,real_play,2026-04-20T12:30:00,1.0
健身入门计划,item_0004,like,2026-04-20T12:31:00,1.2
上海周末去哪玩,item_0005,real_play,2026-04-20T14:20:00,1.0
上海citywalk路线,item_0005,click,2026-04-20T14:22:00,0.7
猫咪换粮软便,item_0006,real_play,2026-04-20T16:10:00,1.0
猫粮怎么过渡,item_0006,click,2026-04-20T16:12:00,0.7
